Date, USA, Japon, France, Europe
01/01/2000, 3.4, -0.2 ,1.7, 2.6
01/01/2001, 2.8, -1.2, 1.6, 2.1
01/01/2002, 1.6, -0.3, 1.9, 2.3
01/01/2003, 2.3, -0.4, 2.1, 2.0
01/01/2004, 2.7, 0.2, 2.1, 2.3
01/01/2005, 3.4, -0.1, 1.7, 2.3
01/01/2006, 3.2, 0.3, 1.7, 1.9
01/01/2007, 2.8, 0.7, 1.5, 3.1
01/01/2008, 3.8, 0.4, 2.8, 1.7
01/01/2009, -0.4, -1.7, 0.1, 0.9
01/01/2010, 1.6, 0.0, 1.5, 2.2
01/01/2011, 3.2, -0.2, 2.1, 2.8
01/01/2012, 2.0, 1.0, -0.1, 2.2
01/01/2013, 1.5, 1.6, 0.9, 0.8
01/01/2014, 1.6, 2.4, 0.5, -0.2
01/01/2015, 0.1, 0.2, 0.0, 0.3
01/01/2016, 1.3, 0.3, 0.2, 1.1
01/01/2017, 2.1, 1.0, 1.0, 1.3
01/01/2018, 2.4, 0.3, 1.9, 1.5
01/01/2019, 1.8, 0.8, 1.1, 1.3
01/01/2020, 1.2, -1.2, 0.5, -0.3
01/01/2021, 4.7, 0.8, 1.6, 5.0
01/01/2022, 8.0, 4.0, 5.2, 9.2
01/01/2023, 4.1, 2.6, 4.9, 2.9
01/01/2024, 2.9, 3.6, 2.0, 2.4
