Date, USA, Japon, France, Europe
01/01/2000, 6.24, 0, 2.63, 2.00
01/01/2001, 3.88, 0.22, 3, 3.75
01/01/2002, 1.67, 0, 3, 2.25
01/01/2003, 1.13, 0, 2.69, 1.75
01/01/2004, 1.35, 0, 2.25, 1.00
01/01/2005, 3.22, 0, 2.15, 1.00
01/01/2006, 4.97, 0.2, 2.44, 1.25
01/01/2007, 5.02, 0.5, 2.85, 2.50
01/01/2008, 1.92, 0.5, 3.67, 3.00
01/01/2009, 0.16, 0.2, 1.92, 2.00
01/01/2010, 0.18, 0.2, 1.46, 0.25
01/01/2011, 0.10, 0.2, 2.08, 0.25
01/01/2012, 0.14, 0, 2.25, 0.25
01/01/2013, 0.11, 0, 1.58, 0.00
01/01/2014, 0.09, 0, 1.15, 0.00
01/01/2015, 0.13, 0, 0.9, -0.2
01/01/2016, 0.39, 0, 0.75, -0.3
01/01/2017, 1.00, -0.5, 0.75, -0.4
01/01/2018, 1.83, -0.5, 0.75, -0.4
01/01/2019, 2.16, -0.5, 0.75, -0.4
01/01/2020, 0.37, -0.5, 0.52, -0.5
01/01/2021, 0.08, -0.5, 0.5, 0.00
01/01/2022, 1.69, -0.5, 1.38, 1.00
01/01/2023, 5.03, -0.5, 2.92, 2.00
01/01/2024, 5.14, -0.5, 3, 4.00
